"ОКСМ — Общероссийский классификатор стран мира","","","","",""
"Классификатор ОК (МК (ИСО 3166) 004-97) 025-2001 с изменением № 33/2024. Введено 01.08.2024 с правом досрочного применения в правоотношениях, возникших с 29.02.2024. Приказ Росстандарта от 05.06.2024 №700-ст.","","","","",""
"Всего записей — 253.","","","","",""
"Подготовлено сайтом classifikators.ru","","","","",""
"ОКСМ онлайн","","","","",""
"","","","","",""
"№","Код","Краткое название","Полное название","Альфа-2","Альфа-3"
"1","004","АФГАНИСТАН","Переходное Исламское Государство Афганистан","AF","AFG"
"2","008","АЛБАНИЯ","Республика Албания","AL","ALB"
"3","010","АНТАРКТИДА","","AQ","ATA"
"4","012","АЛЖИР","Алжирская Народная Демократическая Республика","DZ","DZA"
"5","016","АМЕРИКАНСКОЕ САМОА","","AS","ASM"
"6","020","АНДОРРА","Княжество Андорра","AD","AND"
"7","024","АНГОЛА","Республика Ангола","AO","AGO"
"8","028","АНТИГУА И БАРБУДА","","AG","ATG"
"9","031","АЗЕРБАЙДЖАН","Республика Азербайджан","AZ","AZE"
"10","032","АРГЕНТИНА","Аргентинская Республика","AR","ARG"
"11","036","АВСТРАЛИЯ","","AU","AUS"
"12","040","АВСТРИЯ","Австрийская Республика","AT","AUT"
"13","044","БАГАМЫ","Содружество Багамы","BS","BHS"
"14","048","БАХРЕЙН","Королевство Бахрейн","BH","BHR"
"15","050","БАНГЛАДЕШ","Народная Республика Бангладеш","BD","BGD"
"16","051","АРМЕНИЯ","Республика Армения","AM","ARM"
"17","052","БАРБАДОС","","BB","BRB"
"18","056","БЕЛЬГИЯ","Королевство Бельгия","BE","BEL"
"19","060","БЕРМУДЫ","","BM","BMU"
"20","064","БУТАН","Королевство Бутан","BT","BTN"
"21","068","БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО","Многонациональное Государство Боливия","BO","BOL"
"22","070","БОСНИЯ И ГЕРЦЕГОВИНА","","BA","BIH"
"23","072","БОТСВАНА","Республика Ботсвана","BW","BWA"
"24","074","ОСТРОВ БУВЕ","","BV","BVT"
"25","076","БРАЗИЛИЯ","Федеративная Республика Бразилия","BR","BRA"
"26","084","БЕЛИЗ","","BZ","BLZ"
"27","086","БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ","","IO","IOT"
"28","090","СОЛОМОНОВЫ ОСТРОВА","","SB","SLB"
"29","092","ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ)","Британские Виргинские острова","VG","VGB"
